样本ts_code,样本公司名称,观测年数,ROA_均值,ROA_中位数,ROA_波动率(std),ROA_负值年占比,ROA_连续亏损年数,ROE_均值,ROE_中位数,ROE_波动率(std),ROE_负值年占比,ROE_连续亏损年数,营业净利率_均值,营业净利率_中位数,营业净利率_波动率(std),营业净利率_负值年占比,营业净利率_连续亏损年数
300711.SZ,广哈通信,5,0.05648299999999999,0.055213,0.010655980761994645,0.0,0,0.0782868,0.075357,0.019124735480523646,0.0,0,0.125994,0.127335,0.0156992715117613,0.0,0
300781.SZ,因赛集团,5,0.0452064,0.055179,0.04326040127298867,0.2,1,0.05820960000000001,0.073093,0.058171666099571195,0.2,1,0.08629840000000001,0.112813,0.06673682666114715,0.2,1
300785.SZ,值得买,5,0.059154,0.0375,0.03301977719488731,0.0,0,0.0733968,0.04705,0.04099430118565263,0.0,0,0.09511339999999999,0.068694,0.05261988484689035,0.0,0
300802.SZ,矩子科技,5,0.06843600000000001,0.080462,0.025200859112339803,0.0,0,0.07888900000000001,0.091763,0.030573524731375024,0.0,0,0.15804079999999998,0.167654,0.03852057672465458,0.0,0
300882.SZ,万胜智能,5,0.1012302,0.095308,0.042124885663939786,0.0,0,0.14305079999999998,0.14624,0.060066537262439226,0.0,0,0.15653299999999998,0.152924,0.04112805944242933,0.0,0
300977.SZ,深圳瑞捷,5,0.08170259999999999,0.02635,0.11838615065876582,0.2,1,0.10680960000000002,0.030154,0.16052306637458683,0.2,1,0.0853256,0.086024,0.10241564791231857,0.2,1
300989.SZ,蕾奥规划,5,0.03668225,0.029468,0.06693869108059504,0.25,1,0.049742749999999995,0.035549,0.09177256284378608,0.25,1,0.0788434,0.087421,0.13965632101806205,0.2,1
301052.SZ,果麦文化,5,0.0674825,0.0629435,0.022097639700504965,0.0,0,0.083365,0.077255,0.026486054607409288,0.0,0,0.10147499999999998,0.112179,0.021717902580590052,0.0,0
301129.SZ,瑞纳智能,5,0.07937825000000001,0.0717325,0.052766177414293215,0.0,0,0.0987735,0.08652950000000001,0.0682147136547534,0.0,0,0.2563094,0.310312,0.08169523460888034,0.0,0
301171.SZ,易点天下,5,0.04888766666666666,0.044409,0.008100887934870678,0.0,0,0.07941633333333332,0.065783,0.024342961556337667,0.0,0,0.0947934,0.094701,0.013937241882811681,0.0,0
301213.SZ,观想科技,5,0.02598725,0.008372000000000001,0.048836702566648925,0.5,2,0.030881499999999996,0.0094395,0.05835336083151795,0.5,2,0.1682138,0.18343,0.20559184313269827,0.4,2
301299.SZ,卓创资讯,5,0.06701133333333333,0.073539,0.012633840521921007,0.0,0,0.10385700000000002,0.110101,0.025109182623096277,0.0,0,0.2147968,0.21375,0.024131524707320093,0.0,0
301313.SZ,凡拓数创,5,-0.03757766666666667,0.00603,0.08075870407784744,0.3333333333333333,1,-0.05945433333333333,0.008614,0.12626310153141865,0.3333333333333333,1,-0.056929400000000005,0.022469,0.2602949901713439,0.2,1
301380.SZ,挖金客,5,0.068226,0.069504,0.013926050660542635,0.0,0,0.08556666666666667,0.084523,0.0029332269488284296,0.0,0,0.1064462,0.090325,0.0379596174335306,0.0,0
301382.SZ,蜂助手,5,0.0716125,0.0716125,0.02582848939640102,0.0,0,0.097861,0.097861,0.033321699956634865,0.0,0,0.1330792,0.142344,0.030909270481523827,0.0,0
600556.SH,天下秀,5,0.0436154,0.029361,0.0380729068209928,0.0,0,0.062047200000000004,0.042724,0.05364577707238474,0.0,0,0.0476658,0.038068,0.03643596720549627,0.0,0
600633.SH,浙数文化,5,0.0524174,0.054675,0.008078855940044977,0.0,0,0.0631776,0.066127,0.01061898186268345,0.0,0,0.18260559999999998,0.200411,0.04570537127406362,0.0,0
600640.SH,国脉文化,5,-0.0168338,0.002165,0.02767082841549924,0.4,2,-0.0217748,0.002888,0.03589525769791881,0.4,2,-0.023548400000000004,0.003269,0.04096787797531134,0.4,2
600715.SH,文投控股,5,-0.3004148,-0.382803,0.1399559979661465,1.0,5,-0.6464393333333334,-0.760992,0.31886894018755313,1.0,3,-2.8611082,-2.307706,2.2380319712456527,1.0,5
600734.SH,实达集团,5,0.017271200000000004,0.006113,0.22774409356600228,0.4,1,-0.042149,0.014892,0.17723586521074117,0.3333333333333333,1,-0.0013015999999999855,0.01909,0.4937745600846605,0.4,1
600986.SH,浙文互联,5,0.0216378,0.018915,0.012363790810265271,0.0,0,0.039312,0.031056,0.02320773865545715,0.0,0,0.015085000000000001,0.017575,0.006887634172921788,0.0,0
603533.SH,掌阅科技,5,0.0436654,0.01689,0.046069009646398956,0.0,0,0.0644204,0.02241,0.07284737702072738,0.0,0,0.0507894,0.022348,0.046681397711508164,0.0,0
603598.SH,引力传媒,5,-0.0191594,-0.013745,0.06860155101234956,0.6,2,-0.1327378,-0.095449,0.41188146843564105,0.6,2,-0.0070622,-0.002879,0.023189790009829757,0.6,2
603602.SH,纵横通信,5,0.0114386,0.012533,0.008988547257482713,0.2,1,0.0247834,0.027442,0.01898667881173535,0.2,1,0.0151804,0.017974,0.011147020175813803,0.2,1
603679.SH,华体科技,5,-0.0109082,-0.036479,0.04889036361799736,0.6,2,-0.020402,-0.072219,0.08932535921562253,0.6,2,-0.0572698,-0.092547,0.14296500155877312,0.6,2
603825.SH,ST华扬,5,-0.080929,-0.091845,0.10988393612352991,0.6,3,-0.3951098,-0.383954,0.5450825070199924,0.6,3,-0.0927742,-0.08527,0.12722786290431826,0.6,3
603888.SH,新华网,5,0.04612619999999999,0.045728,0.005196594240461728,0.0,0,0.06955039999999998,0.068337,0.009781017089239747,0.0,0,0.120511,0.122104,0.008602296350393886,0.0,0
603960.SH,克来机电,5,0.06530540000000001,0.05369,0.03048938769965707,0.0,0,0.08379100000000002,0.066829,0.046793205259952,0.0,0,0.12108680000000001,0.099685,0.04006760734932897,0.0,0
688358.SH,祥生医疗,5,0.08332099999999999,0.081867,0.00994351011967102,0.0,0,0.0938428,0.092248,0.011189804520187115,0.0,0,0.2924584,0.299124,0.011291079501092878,0.0,0
688420.SH,美腾科技,5,0.054028999999999994,0.041044,0.04073639933769307,0.0,0,0.07214633333333333,0.05059,0.059405991636646664,0.0,0,0.1933008,0.224086,0.08929244180612377,0.0,0
688619.SH,罗普特,5,-0.0262176,-0.024518,0.0673200987840927,0.6,3,-0.038841200000000006,-0.03925,0.11383864514170924,0.6,3,-0.4192188,-0.103576,0.6512470336006914,0.6,3
688659.SH,元琛科技,5,0.0048264999999999975,-0.007113499999999999,0.05487561948321555,0.5,2,-0.00036175000000000096,-0.015387,0.10094218647778869,0.5,2,0.0282806,0.010762,0.10702632590535843,0.4,2
688768.SH,容知日新,5,0.10357575,0.111327,0.03367789294057255,0.0,0,0.13166175,0.140014,0.04131742764157356,0.0,0,0.2017866,0.204574,0.05620810175410658,0.0,0
920021.BJ,流金科技,5,0.031765800000000004,0.016352,0.04684205892891558,0.2,1,0.0465158,0.028235,0.0701946078676988,0.2,1,0.0306282,0.024006,0.052524247216880704,0.2,1
920092.BJ,汉鑫科技,5,0.0507572,0.044905,0.05290744495531796,0.2,1,0.09549759999999999,0.080441,0.10101051720637806,0.2,1,0.07849599999999998,0.082383,0.10014485748903934,0.2,1
920207.BJ,众诚科技,5,0.0363994,0.037375,0.06621688411802536,0.2,1,0.0872006,0.067481,0.146630002046989,0.2,1,0.027159,0.051542,0.07789634519988727,0.2,1
920227.BJ,美登科技,5,0.15804900000000002,0.132353,0.06925788127354171,0.0,0,0.1853656,0.141577,0.09770197285520901,0.0,0,0.3593806,0.370411,0.047176079376099064,0.0,0
